id;fname;author;title
147;Asimov, Isaac - De Foundation en het Imperium.txt;Isaac Asimov;De Foundation en het Imperium
148;Asimov, Isaac - De stalen holen.txt;Isaac Asimov;De stalen holen
149;Asimov, Isaac - De tweede foundation.txt;Isaac Asimov;De Tweede Foundation
150;Asimov, Isaac - De zwarte weduwnaars.txt;Isaac Asimov;De Zwarte Weduwnaars
151;Asimov, Isaac - Prelude op de Foundation.txt;Isaac Asimov;Prelude op de Foundation
152;Aspe, Pieter - Bankroet.txt;Pieter Aspe;Bankroet
153;Aspe, Pieter - Blauw bloed.txt;Pieter Aspe;Blauw Bloed
154;Aspe, Pieter - Casino.txt;Pieter Aspe;Casino
155;Aspe, Pieter - De cel.txt;Pieter Aspe;De Cel
156;Aspe, Pieter - De Japanse Tuin.txt;Pieter Aspe;De Japanse tuin / druk 3
157;Aspe, Pieter - De Kinderen Van Chronos.txt;Pieter Aspe;Kinderen van Chronos / druk 1
158;Aspe, Pieter - De Midasmoorden.txt;Pieter Aspe;Onvoltooid Verleden
159;Aspe, Pieter - De Vierde Gestalte.txt;Pieter Aspe;De vierde gestalte / druk 4
160;Aspe, Pieter - De Vijfde Macht.txt;Pieter Aspe;De Vijfde Macht
161;Aspe, Pieter - De zevende kamer.txt;Pieter Aspe;De Zevende Kamer
162;Aspe, Pieter - Grof Wild.txt;Pieter Aspe;Grof wild / druk 1
163;Aspe, Pieter - Het dreyse-incident.txt;Pieter Aspe;Het Dreyse-incident
164;Aspe, Pieter - Het vierkant van de wraak.txt;Pieter Aspe;Het vierkant van de wraak
165;Aspe, Pieter - Misleid.txt;Pieter Aspe;Misleid
166;Aspe, Pieter - Onder valse vlag.txt;Pieter Aspe;Onder valse vlag
167;Aspe, Pieter - Ontmaskerd.txt;Pieter Aspe;Ontmaskerd
168;Aspe, Pieter - Pandora.txt;Pieter Aspe;Pandora
169;Aspe, Pieter - Rebus.txt;Pieter Aspe;Rebus
170;Aspe, Pieter - Tango.txt;Pieter Aspe;Tango
171;Aspe, Pieter - Vagevuur.txt;Pieter Aspe;Van In reeks 09 (2001) Vagevuur
172;Aspe, Pieter - Zoenoffer.txt;Pieter Aspe;Zoenoffer
173;Atria, Rita - Een Siciliaanse rebel.txt;Rita Atria;Rita Atria: een Siciliaanse rebel
174;Auel, Jean M - De vallei van de paarden.txt;Jean M. Auel;De vallei van de paarden
175;Auel, Jean M - Een vuurplaats in steen.txt;Jean M. Auel;Een vuurplaat in steen
176;Auel, Jean M. - Aardkinderen - De Mammoetjagers (3).txt;Jean M. Auel;De mammoetjagers (Aardkinderen deel 3)
177;Auel, Jean M. - Aardkinderen - Het Dal der Beloften (4).txt;Jean M. Auel;Het dal der beloften (Aardkinderen deel 4)
178;Auel, Jean M. - Aardkinderen - Vuurplaats in Steen (5).txt;Jean M. Auel;Jean M Aeul - Vuurplaats in Steen
179;Auel, Jean M. - De mammoetjagers.txt;Jean M. Auel;De mammoetjagers
180;Auel, Jean M. - De Stam van de Holebeer.txt;Jean M. Auel;De Stam van de Holebeer
181;Aust, Stefan - De Lokvogel.txt;Stefan Aust;De Lokvogel
182;Austin, Liddie - De Complete Vrouw En Andere Columns.txt;Liddie Austin;De complete vrouw & andere columns
183;Auwers, Karel - De Mens....Een Grote Vergissing.txt;Karel Auwers;De Mens....Een Grote Vergissing
184;Aveskamp, Sabine - Roder Dan Rood.txt;Sabine Aveskamp;Aveskamp, Sabine - Roder dan Rood
185;Avontuur Tussen De Sterren - A. E. van Vogt.txt;A. E. van Vogt;Avontuur Tussen De Sterren
186;Azzopardi, Trezza - De schuilplaats.txt;Trezza Azzopardi;De schuilplaats (NL, 2000)
187;Baantjer & de Waal - Een lijk in de kast.txt;A.C. Baantjer & de Waal;Baantjer 73 - Een lijk in de kast
188;Baantjer - De Cock En 't Wassend Kwaad.txt;A.C. Baantjer;De Cock en 't wassend kwaad
189;Baantjer - De Cock En Danse Macabre.txt;A.C. Baantjer;De Cock en danse macabre
190;Baantjer - De Cock en de blijde Bacchus.txt;A.C. Baantjer;De Cock en de blijde Bacchus / druk 1
191;Baantjer - De Cock en de bloedwraak.txt;A.C. Baantjer;De Cock en de bloedwraak
