filepath,isbn,author:id,author:lastname,categories,language,record_id,subject,title:detail,txt_file
"Auwers, Karel - De Mens    Een Grote Vergissing","9789086661022,9086661025,9789086661022",111388,AUWERS,"Literaire roman, novelle,Literaire fictie algemeen",dut,9789086661022,301,De mens... een grote vergissing,"Auwers, Karel - De Mens    Een Grote Vergissing.xml"
"Massie, Elizabeth - [Tudors 1] De koning, de koningin en de maitresse",,,,,,,,,
Wat spook jij uit_ - Sophie Kinsella,"9789044326048,904432604X,9789044326048",64524,Kinsella,"Vertaalde literaire roman, novelle,Literaire fictie algemeen",dut,9789044326048,302,Wat spook jij uit?,Wat spook jij uit_ - Sophie Kinsella.xml
"Maurik, Justus van - Krates een levensbeeld",,,,,,,,,
"May, Karl - Winnetou 2 - Old Shatterhand",,,,,,,,,
Vroeger was er later,"9789085423669,908542366X,9789085423669",254909,Marynissen,"Literaire roman, novelle,Literaire fictie algemeen",dut,9789085423669,301,Vroeger was er later,Vroeger was er later.xml
"Rhodan, Perry - 0207 - De 73ste ijstijd",,,,,,,,,
"Holbrook, Teri - Stille wateren",,,,,,,,,
"Cornwell, Patricia - Het Front","9789021800240,9021800241,9789021800240",38250,Cornwell,"Thriller,Spannende boeken algemeen,Literaire fictie algemeen",dut,9789021800240,332,Het front,"Cornwell, Patricia - Het Front.xml"
"Christie, Agatha - Hercule Poirot - (1953) Na de Begrafenis (After the Funeral)",,,,,,,,,
"Vance, Jack - Spelevaren op de Grote Planeet",,,,,,,,,
"Higgins Clark, Mary - Doe alsof je haar niet ziet","9024539382,9024539382,9789024539383",38276,HIGGINS CLARK,"Spannende boeken algemeen,Literaire fictie algemeen",dut,9789024539383,330,DOE ALSOF JE HAAR NIET ZIET,"Higgins Clark, Mary - Doe alsof je haar niet ziet.xml"
Klas V6B - Caroline Koppelaar,,,,,,,,,
Warboel in Vladiwostok - Bob Evers,,,,,,,,,
"Konsalik, Heinz - Kozakkenliefde","9022505154,9022505154,9789022505151",32544,KONSALIK,Non-fictie informatief/professioneel algemeen,dut,9789022505151,600,Kozakkenliefde,"Konsalik, Heinz - Kozakkenliefde.xml"
"Kils, Hans van der - Dwars door de Tarzanbocht","9789048200313,9048200318,9789048200313",,,,,,,,"Kils, Hans van der - Dwars door de Tarzanbocht.xml"
"Sheldon, Sidney - Niets is voor eeuwig",,,,,,,,,
"MacLean, Alistair - Karavaan naar Vaccares","2116972582,2116972582,9782116972587;2360011111,2360011111,9782360011117",,,,,,,,"MacLean, Alistair - Karavaan naar Vaccares.xml"
Deveraux  Jude - Een regenboog van dromen,,,,,,,,,
21 - Indiana Jones en de dinosauruseieren - Max McCoy,,,,,,,,,
"Quan, Tracy - Callgirl Van De Jetset","9789047513216,9047513215,9789047513216",209729,Quan,Non-fictie informatief/professioneel algemeen,dut,9789047513216,600,Callgirl van de jetset,"Quan, Tracy - Callgirl Van De Jetset.xml"
"Timm, Uwe - De ontdekking van de curryworst",,,,,,,,,
"Karoly, Jil - Lust of last _",,,,,,,,,
"Praag, Menna van - Mannen, geld en chocola",,,,,,,,,
Bloter dan bloot _ druk 1 - Stan Lauryssens,"9022318818,9022318818,9789022318812",31841,Lauryssens,"Spannende boeken algemeen,Literaire fictie algemeen",dut,9789022318812,330,Bloter dan bloot,Bloter dan bloot _ druk 1 - Stan Lauryssens.xml
"Koppelaar, Caroline - Ontvoerd",,,,,,,,,
"MacLean, Alistair - Bereneiland",,,,,,,,,
Havank 21 - (1951) Het Geheim van de Zevende Sleutel.,,,,,,,,,
"Oorlog zonder vrienden, Evert Hartman - Haijer",,,,,,,,,
"Camilleri, Andrea - De Hond Van Terracotta",,,,,,,,,
Halverwege de heuvel,"9789020412383,9020412388,9789020412383;9789020412826,9020412825,9789020412826",255159,Lippens,"Literaire roman, novelle,Literaire fictie algemeen",dut,9789020412826,301,Halverwege de heuvel,Halverwege de heuvel-1.xml
Zonnige perioden_ roman - Hans Vervoort,"9029551534,9029551534,9789029551533",50456,VERVOORT,"Literaire roman, novelle,Literaire fictie algemeen",dut,9789029551533,301,ZONNIGE PERIODEN,Zonnige perioden_ roman - Hans Vervoort.xml
"Hollander de, Loes - Naaktportret",,,,,,,,,
"Anderson, Poul - Een gok om drie werelden",,,,,,,,,
Oscar,"9789023471400,9023471407,9789023471400",34812,Siebelink,"Literaire roman, novelle,Literaire fictie algemeen",dut,9789023471400,301,Oscar,Oscar.xml
"Baantjer, A C - 63 De Cock en de Broeders van de haat",,,,,,,,,
"Christie, Agatha - Miss Marple - (1942) Moord in de bibliotheek (The Body in the Library)",,,,,,,,,
"Mansell, Jill - (2010) Versier me dan (Take a chance on me)","9789021803586,9021803585,9789021803586",38429,Mansell,"Romantiek,Populaire fiction algemeen,Literaire fictie algemeen",dut,9789021803586,343,Versier me dan,"Mansell, Jill - (2010) Versier me dan (Take a chance on me).xml"
"Aspe, Pieter - Ontmaskerd","9022319415,9022319415,9789022319413",17552,Aspe,"Spannende boeken algemeen,Literaire fictie algemeen",dut,9789022319413,330,Ontmaskerd,"Aspe, Pieter - Ontmaskerd.xml"
"Arisman, Thom - Single van beroep","9789021008929,9021008920,9789021008929",214047,Arisman,"Pockets populaire fictie,Pockets algemeen,Literaire fictie algemeen",dut,9789021008929,312,Single van beroep,"Arisman, Thom - Single van beroep.xml"
"Rhodan, Perry - 0103 - Het plasma-monster",,,,,,,,,
"Royen, Heleen van - (2009) Vulpen","9789049951887,9049951880,9789049951887",62182,Royen,"Literaire roman, novelle,Literaire fictie algemeen",dut,9789049951887,301,Vulpen,"Royen, Heleen van - (2009) Vulpen.xml"
"Slee, Carry - De Toegift",,,,,,,,,
"Vriens, Jacques - De superdikke meester Jaap",,,,,,,,,
"Feist, Raymond E - Legenden van de grote Scheuring - 2 - De drie huurlingen",,,,,,,,,
00014 Brandende Liefde,"9789023452539,9023452534,9789023452539",62316,Wolkers,"Literaire roman, novelle,Literaire fictie algemeen",dut,9789023452539,301,Brandende liefde,00014 Brandende Liefde.xml
Mijn meneer,"9789021442037,9021442035,9789021442037",155897,Lieshout,"Literaire roman, novelle,Literaire fictie algemeen",dut,9789021442037,301,Mijn meneer,Mijn meneer.xml
"Rhodan, Perry - 0390 - De Crest V in de stralingsstorm","2155222432,2155222432,9782155222438",,,,,,,,"Rhodan, Perry - 0390 - De Crest V in de stralingsstorm.xml"
"Marxveldt van, Cissy - Joop en haar jongen","9020501267,9020501267,9789020501261",25232,MARXVELDT,"Fictie kinder- en jeugdboeken algemeen,Kinderboeken algemeen",dut,9789020501261,280,Joop ter heul,"Marxveldt van, Cissy - Joop en haar jongen.xml"
Georges Simenon - Maigret en het lijk zonder hoofd,,,,,,,,,
"Hek, Youp van 't - Bacterien moeten ook leven","9789060058756,9060058755,9789060058756",131707,Hek,"Literaire roman, novelle,Literaire fictie algemeen",dut,9789060058756,301,Bacteriën moeten ook leven,"Hek, Youp van 't - Bacterien moeten ook leven.xml"
Baantjer - De Cock en het lijk aan de kerkmuur,"9789026125041,9026125046,9789026125041",619868,Baantjer,"Detective,Spannende boeken algemeen,Literaire fictie algemeen",dut,9789026125041,331,De Cock en het lijk aan de kerkmuur,Baantjer - De Cock en het lijk aan de kerkmuur.xml
Weerloos _ druk 1 - Deflo,"9789022318669,9022318664,9789022318669",116461,Deflo,"Spannende boeken algemeen,Literaire fictie algemeen",dut,9789022318669,330,Weerloos,Weerloos _ druk 1 - Deflo.xml
"Veen van der , Adriaan - Geld Speelt De Grote Rol",,,,,,,,,
"Jordan, Robert - Het rad des tijds boek 11 - Mes van drom","2116972582,2116972582,9782116972587;4965613627,4965613627,9784965613628;4655622210,4655622210,9784655622213;2145233822,2145233822,9782145233826;2155222432,2155222432,9782155222438;2117634222,2117634222,9782117634224;2116222222,2116222222,9782116222224;2117649262,2117649262,9782117649266;2118639252,2118639252,9782118639259;0268435456,0268435456,9780268435455",,,,,,,,"Jordan, Robert - Het rad des tijds boek 11 - Mes van drom-4.xml"
"London, Jack - De ongelikte beer",,,,,,,,,
Couwenbergh & Haenen - De regels en het spel,"9789047001973,9047001974,9789047001973",388996,Couwenberght,"Economische biografieen,Economie en bedrijf algemeen,Theologie algemeen",dut,9789047001973,791,De regels en het spel,Couwenbergh & Haenen - De regels en het spel.xml
"Burroughs, Edgar Rice - De God van Tarzan",,,,,,,,,
"Feist, Raymond E - Dienaar van het Keizerrijk",,,,,,,,,
"Doyle, Arthur Conan - Het avontuur van de adelijke vrijgezel",,,,,,,,,
"Ingalls Wilder, Laura - 02 Het kleine huis op de prairie","902160356X,902160356X,9789021603568",31276,WILDER,"Fictie kinder- en jeugdboeken algemeen,Kinderboeken algemeen",dut,9789021603568,280,Kleine huis op de prairie,"Ingalls Wilder, Laura - 02 Het kleine huis op de prairie.xml"
"Verhoeven, Paul - Jezus van Nazaret","9789460922237,9460922236,9789460922237",202298,Verhoeven,Theologie algemeen,dut,9789460922237,700,Jezus van Nazaret,"Verhoeven, Paul - Jezus van Nazaret.xml"
"Dixon, Franklin - De Hardy's 07 De Verdwenen Professor",,,,,,,,,
"Wood, Barbara - (1988 Nachtvlinders (Butterfly)",,,,,,,,,
"Walters, Minette - Schaduwzijde","9789460921766,9460921760,9789460921766",67358,Walters,"Literaire thriller,Literaire fictie algemeen",dut,9789460921766,305,Schaduwzijde,"Walters, Minette - Schaduwzijde.xml"
"Hemmerechts, Kristien - De waar gebeurde geschiedenis van Victor en Clara Rooze","9789045015569,9045015560,9789045015569",55102,Hemmerechts,"Literaire roman, novelle,Literaire fictie algemeen",dut,9789045015569,301,De waar gebeurde geschiedenis van Victor en Clara Rooze,"Hemmerechts, Kristien - De waar gebeurde geschiedenis van Victor en Clara Rooze.xml"
"Baantjer, A C - 08 De Cock en de ontgoochelde dode","9789026124587,9026124589,9789026124587",619868,Baantjer,"Detective,Spannende boeken algemeen,Literaire fictie algemeen",dut,9789026124587,331,De Cock en de ontgoochelde dode,"Baantjer, A C - 08 De Cock en de ontgoochelde dode.xml"
"Christie, Agatha - Hercule Poirot - (1940) Moord in de martelstoel (One, Two, Buckle My Shoe)",,,,,,,,,
"Lamont, Robert - Heerser over woeste wateren",,,,,,,,,
"ammaniti, niccole - ik haal je op ik neem je mee_decrypted","9789048803828,9048803829,9789048803828",48094,Ammaniti,"Vertaalde literaire roman, novelle,Literaire fictie algemeen",dut,9789048803828,302,"Ik haal je op, ik neem je mee","ammaniti, niccole - ik haal je op ik neem je mee_decrypted.xml"
"Heide, Willy van der - Bob Evers 23 Wilde sport om een nummerbord",,,,,,,,,
"Simenon, Georges - (1931) Maigret en de ter dood veroordeelde (La tête d'un homme)",,,,,,,,,
"Rhodan, Perry - 0504 - Het ruimteschip van de Gele Afgod",,,,,,,,,
"Cusick, Richie - Ben ik de volgende",,,,,,,,,
20.000 Mijlen onder Zee_ Westelijk Halfrond - Jules Verne,,,,,,,,,
"Downham, Jenny - Voor ik doodga",,,,,,,,,
Ik ben de zoon van John Lennon,"9789046811153,9046811158,9789046811153;9789046811399,9046811395,9789046811399",211920,Smits,"Literaire roman, novelle,Literaire fictie algemeen",dut,9789046811153,301,Ik ben de zoon van John Lennon,Ik ben de zoon van John Lennon.xml
"Schmidt, Annie M.G. - Het Grote Annie M.G. Schmidt Voorleesboek",,,,,,,,,
"Rhodan, Perry - 0327 - De vier griezels","2155222432,2155222432,9782155222438",,,,,,,,"Rhodan, Perry - 0327 - De vier griezels.xml"
"Andrews, Virginia - Dollanganger Saga 01 - (1979) Bloemen op zolder (Flowers in the attic)","9032502743,9032502743,9789032502744",53720,Andrews,"Griezel- en spookverhalen, horror,Spannende boeken algemeen,Literaire fictie algemeen",dut,9789032502744,335,Bloemen op zolder,"Andrews, Virginia - Dollanganger Saga 01 - (1979) Bloemen op zolder (Flowers in the attic).xml"
"Picoult, Jodi - De bekering","9789044327236,9044327232,9789044327236",218986,Picoult,"Literaire thriller,Literaire fictie algemeen",dut,9789044327236,305,De bekering,"Picoult, Jodi - De bekering.xml"
Barbara Hart verwarrend evenbeeld,,,,,,,,,
"Rhodan, Perry - 0353 - Broedstation in de pararuimte",,,,,,,,,
"Grunberg, Arnon - Huid en Haar","9789038893822,9038893825,9789038893822;9789038893846,9038893841,9789038893846",17555,Grunberg,"Literaire roman, novelle,Literaire fictie algemeen",dut,9789038893846,301,Huid en haar,"Grunberg, Arnon - Huid en Haar-1.xml"
"Limburg Brouwer van, P - Akbar - een oosterse roman",,,,,,,,,
"Vitaly, Giusy - Ik Was Een Van Hen","9789045801995,904580199X,9789045801995",214111,Vitale,"Waargebeurde verhalen,Non-fictie Vrije tijd/algemeen",dut,9789045801995,402,Ik was een van hen,"Vitaly, Giusy - Ik Was Een Van Hen.xml"
book van muizen en mensen - Van Muizen En Mensen,,,,,,,,,
"Rhodan, Perry - 0462 - De Erudiet",,,,,,,,,
Arie Roos als reserve-acteur - Bob Evers,"9789060566411,9060566416,9789060566411;9060566416,9060566416,9789060566411;906056832X,906056832X,9789060568323",60742,Zwaan,"Fictie 4-6 jaar,Fictie kinder- en jeugdboeken algemeen,Kinderboeken algemeen",dut,9789060566411,281,Arie Rose als reserve-acteur,Arie Roos als reserve-acteur - Bob Evers-1.xml
"Vaandrager, Frits - De aard van het beestje","9789490848057,9490848050,9789490848057",453290,Vaandrager,"Natuur, plant, dier (>12 jaar),Non-fictie kinderboeken (> 12 jaar),Kinderboeken algemeen",dut,9789490848057,253,De aard van het beestje,"Vaandrager, Frits - De aard van het beestje.xml"
"Visser, Judith - Oversteken",,,,,,,,,
"Brooke, Lauren - Paardenranch Heartland-Alleen Verder",,,,,,,,,
"Noordervliet, Nelleke - Mevrouw Gigengack",,,,,,,,,
"McCarthy, Ava - De Insider",,,,,,,,,
Johan Doxa_ vier herinneringen aan een B - Herman Teirlinck,,,,,,,,,
"Pels, Dick - De economie van de eer","9789026322167,902632216X,9789026322167",214227,Pels,"Politicologie,Mens en maatschappij algemeen,Theologie algemeen",dut,9789026322167,754,De economie van de eer,"Pels, Dick - De economie van de eer.xml"
"Rhodan, Perry - 0214 - Strijd om de piramiden",,,,,,,,,
14 - Indiana Jones en de erfenis van de eenhoorn - Rob MacGregor,,,,,,,,,
00073 De man die even wilde afrekenen,,,,,,,,,
Van Toledo naar Granada _ De Aarde en ha - Jane Dieulafoy,,,,,,,,,
"Harris, Joanne - Vijf kwarten van de sinaasappel","4965613627,4965613627,9784965613628;2145233822,2145233822,9782145233826;5512125222,5512125222,9785512125229;2117649262,2117649262,9782117649266;2118639252,2118639252,9782118639259;2693455243,2693455243,9782693455244;2160311111,2160311111,9782160311110;2116222222,2116222222,9782116222224;9789024561209,9024561205,9789024561209;0268435456,0268435456,9780268435455;2116972582,2116972582,9782116972587;3972347243,3972347243,9783972347243;2117634222,2117634222,9782117634224;9024561205,9024561205,9789024561209;2462555234,2462555234,9782462555236;4655622210,4655622210,9784655622213;2360011111,2360011111,9782360011117;4252772222,4252772222,9784252772229;2155222432,2155222432,9782155222438;2776861524,2776861524,9782776861528;3492458386,3492458386,9783492458382;2161011111,2161011111,9782161011118",53900,Harris,"Pockets populaire fictie,Pockets algemeen,Literaire fictie algemeen",dut,9789024561209,312,Vijf kwarten van de sinaasappel,"Harris, Joanne - Vijf kwarten van de sinaasappel-13.xml"
"Scheer, K.H. - De Mens en het monster",,,,,,,,,
"Balci, Erdal - Vandaag geen pont","9789460920486,9460920489,9789460920486",251496,Balci,Literaire fictie algemeen,dut,9789460920486,300,Vandaag geen pont,"Balci, Erdal - Vandaag geen pont.xml"
"Darlton, Clark - De reis in het oneindige",,,,,,,,,
"Ryan Hyde, Catherine - Betaal het voort",,,,,,,,,
"Appel, Rene - Weerzin","9789041414526,9041414525,9789041414526",47593,Appel,"Literaire thriller,Literaire fictie algemeen",dut,9789041414526,305,Weerzin,"Appel, Rene - Weerzin.xml"
"Brett, Simon - Dagboek Van Een Ettertje",,,,,,,,,
lilian darcy verliefd in 30 dagen,,,,,,,,,
"Rhodan, Perry - 0084 - Recruten voor Arkon",,,,,,,,,
"Schurmann, Joseph J - Achter de schermen",,,,,,,,,
"Hartman, Evert - Oorlog zonder vrienden","2155222432,2155222432,9782155222438;2116972582,2116972582,9782116972587;2118639252,2118639252,9782118639259",,,,,,,,"Hartman, Evert - Oorlog zonder vrienden-2.xml"
"Westerveld, Judy - De Schoonmaker",,,,,,,,,
"Braak ter, Menno - Afscheid Van Domineesland",,,,,,,,,
"Royen van, Heleen - De naaimachine",,,,,,,,,
00076 All-inclusive,,,,,,,,,
"Kuhn, Krystyna - [De Vallei 01] Het spel","9789049925475,9049925472,9789049925475",233420,Kuhn,"Fictie 15+,Fictie kinder- en jeugdboeken algemeen,Kinderboeken algemeen",dut,9789049925475,285,De vallei 1 - Het spel,"Kuhn, Krystyna - [De Vallei 01] Het spel.xml"
"Christie, Agatha - Moord uit het verleden 01",,,,,,,,,
"Reichs, Kathy - 206 Botten","9789022549766,9022549763,9789022549766",33076,Reichs,"Thriller,Spannende boeken algemeen,Literaire fictie algemeen",dut,9789022549766,332,206 botten,"Reichs, Kathy - 206 Botten.xml"
Een Vlucht Vooruit - Ake Edwardson,,,,,,,,,
"Schipper, Lieuwe - De Liereman",,,,,,,,,
"Cussler, Clive - Operatie Dragon","9046110702,9046110702,9789046110706",64597,Cussler,"Pockets spanning,Pockets algemeen,Literaire fictie algemeen",dut,9789046110706,313,Operatie dragon,"Cussler, Clive - Operatie Dragon.xml"
"Bagley, Desmond - Duel onder water","9010011194,9010011194,9789010011190",390907,Bagley,"Spannende boeken algemeen,Literaire fictie algemeen",dut,9789010011190,330,Duel onder water,"Bagley, Desmond - Duel onder water.xml"
Baantjer en de Waal - Een dief in de nacht,"9789048806706,9048806704,9789048806706",155012,Waal,"Detective,Spannende boeken algemeen,Literaire fictie algemeen",dut,9789048806706,331,Een dief in de nacht,Baantjer en de Waal - Een dief in de nacht.xml
De Vurige Oven _ Een verhaal uit den tij - J. A. Wormser,,,,,,,,,
"Grant, Charles - X-Files Kobolds","2116972582,2116972582,9782116972587;2360011111,2360011111,9782360011117;2155222432,2155222432,9782155222438;2161011111,2161011111,9782161011118;2160311111,2160311111,9782160311110",,,,,,,,"Grant, Charles - X-Files Kobolds-4.xml"
"Oomen, Francine - Hoe overleef Ik mijn ouders","9789026999000,9026999003,9789026999000",18209,Oomen,"Fictie 13-15 jaar,Fictie kinder- en jeugdboeken algemeen,Kinderboeken algemeen",dut,9789026999000,284,Hoe overleef ik mijn ouders ? (en zij mij !),"Oomen, Francine - Hoe overleef Ik mijn ouders.xml"
"Andersen, Hans Christian - Andersens Sproken En Vertellingen",,,,,,,,,
De Scheepsjongens van Bontekoe - Johan Fabricius,,,,,,,,,
"Elschot, Willem - Lijmen - Het Been","9789025364670,9025364675,9789025364670",29137,Elsschot,"Literaire roman, novelle,Literaire fictie algemeen",dut,9789025364670,301,Lijmen / Het Been,"Elschot, Willem - Lijmen - Het Been.xml"
"Aspe, Pieter - Zonder spijt","9022319652,9022319652,9789022319659",17552,Aspe,"Spannende boeken algemeen,Literaire fictie algemeen",dut,9789022319659,330,Zonder spijt,"Aspe, Pieter - Zonder spijt.xml"
"MacInerny, Monica - Familiebagage",,,,,,,,,
"Beyala, Calixthe - Mama heeft een minaar",,,,,,,,,
"Vasilii, Vasilevich Vereshchagin - Van Orenburg naar Samarkand",,,,,,,,,
"Holt, Anne - Wat nooit gebeurt","9789023443865,9023443861,9789023443865",167965,Holt,"Literaire thriller,Literaire fictie algemeen",dut,9789023443865,305,Wat nooit gebeurt,"Holt, Anne - Wat nooit gebeurt.xml"
Verzamelbundels - De arsenalen van Isher _ De wapensmeden - Diverse Auteurs,"9029008288,9029008288,9789029008280",30057,VOGT,"Spannende boeken algemeen,Literaire fictie algemeen",dut,9789029008280,330,Arsenalen van isher wapensmeden,Verzamelbundels - De arsenalen van Isher _ De wapensmeden - Diverse Auteurs.xml
"Andrews, Virginia - Ruby 2 - (1994) Parel In De Mist (Pearl in the Mist)","9032504827,9032504827,9789032504823",53720,Andrews,"Griezel- en spookverhalen, horror,Spannende boeken algemeen,Literaire fictie algemeen",dut,9789032504823,335,Parel in de mist,"Andrews, Virginia - Ruby 2 - (1994) Parel In De Mist (Pearl in the Mist).xml"
"Weeks, Lee - Jacht","9789024531653,9024531659,9789024531653",207775,Weeks,"Thriller,Spannende boeken algemeen,Literaire fictie algemeen",dut,9789024531653,332,Jacht,"Weeks, Lee - Jacht.xml"
"Rossum, Maarten van - Waarom Is De Burger Boos","9789046807958,9046807959,9789046807958;9789046807057,9046807053,9789046807057",118065,Rossem,"Moderne geschiedenis (1870-heden),Geschiedenis algemeen,Non-fictie informatief/professioneel algemeen",dut,9789046807057,686,Waarom is de burger boos?,"Rossum, Maarten van - Waarom Is De Burger Boos-1.xml"
BE29 - Willy van der Heide,,,,,,,,,
De moedige vrouw - Ellen Karolina Sofia - Ellen Karolina Sofia Key,,,,,,,,,
"Rhodan, Perry - 0313 - In het kamp van de leeuwmensen",,,,,,,,,
"Burroughs, Edgar Rice - Tarzan en het Mieren-Volk",,,,,,,,,
"Donaldson, Stephen - Thomas Covenant 3 De macht die behoudt",,,,,,,,,
"Stine, R L - De waarschuwing",,,,,,,,,
"Franke, Tess - Bezieling","9789041414854,9041414851,9789041414854",168211,Franke,"Literaire thriller,Literaire fictie algemeen",dut,9789041414854,305,De bezieling,"Franke, Tess - Bezieling.xml"
"Rhodan, Perry - 0105 - De spookvloot",,,,,,,,,
"Rijn van, Elle - De Tragische Geschiedenis Van Mijn Succes",,,,,,,,,
"King, Stephen - (1974) Carrie (Carrie)",,,,,,,,,
Multatuli - De Geschiedenis van Woutertje Pieterse,,,,,,,,,
Baantjer & de Waal - Een lijk in de kast,,,,,,,,,
"Armstrong, Adam - Het zandpaard",,,,,,,,,
"Rispens, Sybe - Einstein in Nederland","9789026322389,9026322380,9789026322389",262040,Rispens,"Natuurkunde algemeen,Exacte wetenschappen/natuurwetenschappen algemeen,Sociale geografie algemeen",dut,9789026322389,924,Einstein in Nederland,"Rispens, Sybe - Einstein in Nederland.xml"
"Achter de schermen bij Peter R. de Vries - Spek, Kees van der_","9789026125003,9026125003,9789026125003",,,,,,,,"Achter de schermen bij Peter R. de Vries - Spek, Kees van der_.xml"
"Rood, Lydia - Zo veel zinnen","9789490848132,9490848131,9789490848132;9789490848149,949084814X,9789490848149;9789490848323,9490848328,9789490848323;9789490848163,9490848166,9789490848163;9789490848156,9490848158,9789490848156",41986,Rood,"Erotiek,Lifestyle algemeen,Non-fictie Vrije tijd/algemeen",dut,9789490848163,455,Zoveel zinnen van Lydia Rood,"Rood, Lydia - Zo veel zinnen-3.xml"
"Deaver, Jeffery - Spanningsveld","9789047515913,9047515919,9789047515913",129761,Deaver,"Spannende boeken algemeen,Literaire fictie algemeen",dut,9789047515913,330,Spanningsveld,"Deaver, Jeffery - Spanningsveld.xml"
"Geldof, Wilma - Heej sgatje","9789025111502,9025111505,9789025111502",155477,Geldof,"Fictie 13-15 jaar,Fictie kinder- en jeugdboeken algemeen,Kinderboeken algemeen",dut,9789025111502,284,Heej Sgatje,"Geldof, Wilma - Heej sgatje.xml"
Kamer nr. 10 - Ake Edwardson,,,,,,,,,
"Christie, Agatha - De vier klokken",,,,,,,,,
"Fasol, Emma - aangeraakt","9789063055554,9063055552,9789063055554",207829,Fasol,"Literaire roman, novelle,Literaire fictie algemeen",dut,9789063055554,301,Aangeraakt,"Fasol, Emma - aangeraakt.xml"
"Bruggen van, Carry - Prometheus",,,,,,,,,
"Heinlein, Robert A. - De Maan In Opstand",,,,,,,,,
"Brooks, Terry - De Heks van Shannara",,,,,,,,,
"Brown, Dan - (2000) Het Bernini mysterie (Angels & demons)",,,,,,,,,
"Rhodan, Perry - 0075 - Het rode universum","2155222432,2155222432,9782155222438",,,,,,,,"Rhodan, Perry - 0075 - Het rode universum.xml"
"Saldico, Carmina - Salcido, Carmina - Alleen Ik Overleefde","9789460922909,9460922902,9789460922909",211761,Salcido,"Vertaalde literaire roman, novelle,Literaire fictie algemeen",dut,9789460922909,302,Alleen ik overleefde,"Saldico, Carmina - Salcido, Carmina - Alleen Ik Overleefde.xml"
"Christie, Agatha - Miss Marple met vakantie",,,,,,,,,
"Ayaan, Hirsi Ali - De zoontjesfabriek","9789045703558,9045703556,9789045703558",67154,Hirsi Ali,"Mens en maatschappij algemeen,Theologie algemeen",dut,9789045703558,740,De zoontjesfabriek,"Ayaan, Hirsi Ali - De zoontjesfabriek.xml"
"Karskens, Arnold - Geen cent spijt","9789460920110,946092011X,9789460920110",390889,Karskens,"Historische biografieen,Geschiedenis algemeen,Non-fictie informatief/professioneel algemeen",dut,9789460920110,681,Geen cent spijt,"Karskens, Arnold - Geen cent spijt.xml"
"Kroonenberg, Yvonne - Wat Rijmt Er Op Huwelijk","9789025433536,9025433537,9789025433536",112903,Kroonenberg,"Pockets literaire fictie,Pockets algemeen,Literaire fictie algemeen",dut,9789025433536,311,Wat rijmt er op huwelijk?,"Kroonenberg, Yvonne - Wat Rijmt Er Op Huwelijk.xml"
"Bril, Martin - De kleine keizer","9789044615319,9044615319,9789044615319",49161,Bril,"Literaire roman, novelle,Literaire fictie algemeen",dut,9789044615319,301,De kleine keizer,"Bril, Martin - De kleine keizer.xml"
"Brown, Sandra - De verwisseling",,,,,,,,,
Knielen op een bed violen_ roman - Jan Siebelink,"9789023416340,9023416341,9789023416340",34466,SIEBELINK,"Literaire roman, novelle,Literaire fictie algemeen",dut,9789023416340,301,Knielen op een bed violen,Knielen op een bed violen_ roman - Jan Siebelink.xml
Heldhaftig,"9789029585170,902958517X,9789029585170",255098,Bolt,"Vertaalde literaire roman, novelle,Literaire fictie algemeen",dut,9789029585170,302,Heldhaftig,Heldhaftig.xml
"Edwardes, Tickner - Het verhaal van de honingbij",,,,,,,,,
"Rhodan, Perry - 0125 - Redder van het imperium",,,,,,,,,
"Baantjer, A C - 31 De Cock en moord eerste klasse","9789026125232,9026125232,9789026125232",619868,Baantjer,"Detective,Spannende boeken algemeen,Literaire fictie algemeen",dut,9789026125232,331,De Cock en moord eerste klasse,"Baantjer, A C - 31 De Cock en moord eerste klasse.xml"
Maigret en de gele hond - Georges Simenon,,,,,,,,,
"Burroughs, Edgar Rice - Tarzan en de Gouden Stad",,,,,,,,,
"Boer de, Herman Pieter - Het Damesorkest",,,,,,,,,
"Lanting, Menno - Iedereen Ceo","8525722200,8525722200,9788525722201;9789047004400,904700440X,9789047004400",227689,Lanting,Bedrijfskunde algemeen,dut,9789047004400,800,Iedereen CEO,"Lanting, Menno - Iedereen Ceo-1.xml"
"Burroughs, Edgar Rice - Tarzan de Onoverwinnelijke",,,,,,,,,
Indiana Jones (22) en de holle aarde - Max McCoy,,,,,,,,,
"MacLean, Alistair - Toren gegijzeld",,,,,,,,,
00062 Villa Serena,"9789063054434,9063054432,9789063054434",112895,Pauw,"Literaire roman, novelle,Literaire fictie algemeen",dut,9789063054434,301,Villa Serena,00062 Villa Serena.xml
De Grote Stille knecht - Aar van de Werfhorst - Aar van de Werfhorst,"9021487926,9021487926,9789021487922",276389,Werfhorst,Non-fictie informatief/professioneel algemeen,dut,9789021487922,600,Grote stille knecht,De Grote Stille knecht - Aar van de Werfhorst - Aar van de Werfhorst.xml
"Bon, Annemarie - Nieuw Leven","9789047507291,9047507290,9789047507291",47519,Bon,"Fictie 13-15 jaar,Fictie kinder- en jeugdboeken algemeen,Kinderboeken algemeen",dut,9789047507291,284,Een nieuw leven,"Bon, Annemarie - Nieuw Leven.xml"
"Darwin, Charles - De reis van de Beagle","9789048803781,9048803780,9789048803781",122169,Darwin,"Literaire non-fictie algemeen,Literaire fictie algemeen",dut,9789048803781,320,De reis van de Beagle,"Darwin, Charles - De reis van de Beagle.xml"
