filepath,isbn,author:id,author:lastname,categories,language,record_id,subject,title:detail,txt_file
"Moore, Ann - Achter de horizon","9789023906568,902390656X,9789023906568;9789023991762,9023991761,9789023991762",35913,Moore,"Historische roman (populair),Populaire fiction algemeen,Literaire fictie algemeen",dut,9789023991762,342,Achter de horizon,"Moore, Ann - Achter de horizon-1.xml"
In de naam van TienKamelen,"9789028440951,902844095X,9789028440951;9789028424791,9028424792,9789028424791",116875,Billiet,"Literaire roman, novelle,Literaire fictie algemeen",dut,9789028440951,301,In naam van TienKamelen,In de naam van TienKamelen.xml
Onbegrepen - Karin Slaughter,"9789059650695,9059650697,9789059650695",,,,,,,,Onbegrepen - Karin Slaughter.xml
"Waal, Simon de - Summercrime","9789048803460,9048803462,9789048803460",155012,Waal,"Literaire thriller,Literaire fictie algemeen",dut,9789048803460,305,Summercrime,"Waal, Simon de - Summercrime.xml"
"Cornwell, Patricia - Het eindstation",,,,,,,,,
"Vlugt van der, Simone - Op klaarlichte dag",,,,,,,,,
"Burroughs, Edgar Rice - Tarzan en de Gouden leeuw",,,,,,,,,
"Mankell, Henning - De Blinde muur","9052268177,9052268177,9789052268170",64906,Mankell,"Detective,Spannende boeken algemeen,Literaire fictie algemeen",dut,9789052268170,331,De blinde muur,"Mankell, Henning - De Blinde muur.xml"
Die honden van boven,"9789046812822,9046812820,9789046812822;9789046809723,9046809722,9789046809723",235957,Kruisbergen,"Literaire roman, novelle,Literaire fictie algemeen",dut,9789046809723,301,Die honden van boven,Die honden van boven-1.xml
Het lijk met de pince-nez - Dorothy Sayers,"9022950794,9022950794,9789022950791",46364,SAYERS,Non-fictie informatief/professioneel algemeen,dut,9789022950791,600,Omnibus lyk met pince-nez de 9 slagen,Het lijk met de pince-nez - Dorothy Sayers.xml
De Zoon van Tarzan - Edgar Rice Burroughs,,,,,,,,,
00207 Gebroken,"9789023453864,9023453867,9789023453864",34783,Robotham,"Literaire thriller,Literaire fictie algemeen",dut,9789023453864,305,Gebroken,00207 Gebroken.xml
Insecteneters - Alfred Edmund Brehm,,,,,,,,,
